index,file,EPI,Start,Stop,epi1,epi2,epi3,start1,start2,start3,stop1,stop2,stop3
194,l_58,HVF,9162,13932,DVF,HVF,HPE,13933,14776,15407,14775,15406,348490
195,l_60,HVF,1,641,DVF,HVF,HAS,642,1482,2145,1481,2144,21840
196,l_60,HVF,82384,90776,DVF,HVF,HAS,90777,91617,92181,91616,92180,101230
197,l_60,HVF,132313,142117,DVF,HVF,HAS,142118,142962,143418,142961,143417,162484
198,l_60,HVF,166602,177707,DVF,HVF,HAS,177708,178547,178874,178546,178873,195422
199,l_60,HVF,271103,279599,DVF,HVF,HAS,279600,280442,280738,280441,280737,289176
200,l_60,HVF,348929,358072,DVF,HVF,HPE,358073,358902,359060,358901,359059,360373
201,l_60,HVF,360374,369169,DVF,HVF,HPE,369170,369997,370101,369996,370100,372384
202,l_60,HVF,422958,439946,DVF,HVF,HPE,439947,440772,440945,440771,440944,496132
203,l_61,HVT,613205,622096,DVT,HVT,HAS,622097,622925,623245,622924,623244,626083
204,l_62,HVF,213690,225258,DVF,HVF,HAS,225259,226085,226504,226084,226503,237425
205,l_62,HVF,259894,317068,DVF,HVF,HAS,317069,317910,318417,317909,318416,360000
206,l_63,HVF,324954,338257,DVF,HVF,HAS,338258,339099,340037,339098,340036,359464
207,l_63,HVF,434156,441332,DVF,HVF,HAS,441333,442174,443264,442173,443263,446008
208,l_63,HVF,558062,565032,DVF,HVF,HAS,565033,565874,566723,565873,566722,569201
209,l_63,HVF,704680,711356,DVF,HVF,HAS,711357,712199,712871,712198,712870,713561
210,l_63,HVF,835744,844018,DVF,HVF,HPE,844019,844844,845335,844843,845334,856379
211,l_65,HVF,1,6259,DVF,HVF,HPE,6260,7101,7908,7100,7907,24213
212,l_65,HVF,605529,622949,DVF,HVF,HPE,622950,623776,624335,623775,624334,627303
213,l_65,HVF,627304,636095,DVF,HVF,HPR,636096,636936,636986,636935,636985,664561
214,l_66,HVF,1,2613,DVF,HVF,HAS,2614,3443,4400,3442,4399,21518
215,l_66,HVF,37912,46286,DVF,HVF,HPE,46287,47128,48126,47127,48125,53301
216,l_66,HVF,113756,127315,DVF,HVF,HPE,127316,128143,128931,128142,128930,145652
